1:Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
361:|||||||000001|09/01/2024|Vente|225000,00|285||RTE|0150|DES PEROUSES|1560|SAINT-JULIEN-SUR-REYSSOUZE|01|367||A|381||||||||||||0|3|Dépendance||0|0|S||3220
362:|||||||000001|09/01/2024|Vente|225000,00|285||RTE|0150|DES PEROUSES|1560|SAINT-JULIEN-SUR-REYSSOUZE|01|367||A|381||||||||||||0|1|Maison||118|5|S||3220
363:|||||||000001|09/01/2024|Vente|225000,00||||B044|LES PEROUSES|1560|SAINT-JULIEN-SUR-REYSSOUZE|01|367||A|384||||||||||||0||||||VI||1140
364:|||||||000001|09/01/2024|Vente|225000,00||||B044|LES PEROUSES|1560|SAINT-JULIEN-SUR-REYSSOUZE|01|367||A|385||||||||||||0||||||T||1054
365:|||||||000001|09/01/2024|Vente|225000,00||||B044|LES PEROUSES|1560|SAINT-JULIEN-SUR-REYSSOUZE|01|367||A|1190||||||||||||0||||||P||19691
366:|||||||000001|11/01/2024|Vente en l'état futur d'achèvement|635000,00||||B036|NAZ|1170|CHEVRY|01|103||A|1102||||||||||||0||||||AB||381
367:|||||||000001|05/01/2024|Vente|140000,00|62||RUE|0168|DU GEN DEGOUTTE|1700|MIRIBEL|01|249||AD|498||29||30||||||||2|4|Local industriel. commercial ou assimilé||45|0|||
368:|||||||000001|12/01/2024|Vente|305400,00||||B022|AUX GRANDES VIGNES|1150|SAINT-VULBAS|01|390||D|1299||||||||||||0||||||S||31
369:|||||||000001|12/01/2024|Vente|305400,00|286|B|CHE|0066|DES GRAND VIGNES|1150|SAINT-VULBAS|01|390||D|1301||||||||||||0|1|Maison||102|5|S||665
370:|||||||000001|04/01/2024|Vente|305000,00||||B063|A CHANVES|1500|AMBERIEU-EN-BUGEY|01|4||BN|524||||||||||||0||||||S||5
371:|||||||000001|04/01/2024|Vente|305000,00|5||RUE|0220|DE CHANVES|1500|AMBERIEU-EN-BUGEY|01|4||BN|881||||||||||||0|1|Maison||117|5|S||396
372:|||||||000001|16/01/2024|Vente|35000,00||||B088|LE VILLAGE|1150|VAUX-EN-BUGEY|01|431||AB|176||||||||||||0||||||S||78
373:|||||||000001|16/01/2024|Vente|35000,00||||B088|LE VILLAGE|1150|VAUX-EN-BUGEY|01|431||AB|177||||||||||||0||||||S||25
374:|||||||000001|11/01/2024|Vente|260000,00|342||RUE|0360|DE GENEVE|1170|GEX|01|173||AL|36||5||||||||||1|3|Dépendance||0|0|||
375:|||||||000001|11/01/2024|Vente|260000,00|342||RUE|0360|DE GENEVE|1170|GEX|01|173||AL|36||2|63,17|||||||||1|3|Dépendance||0|0|||
376:|||||||000001|11/01/2024|Vente|260000,00|342||RUE|0360|DE GENEVE|1170|GEX|01|173||AL|36||2|63,17|||||||||1|2|Appartement||60|3|||
377:|||||||000001|11/01/2024|Vente|1100000,00|632||CHE|0010|DES BALS|1410|LELEX|01|210||A|116||||||||||||0|4|Local industriel. commercial ou assimilé||148|0|S||514
378:|||||||000001|11/01/2024|Vente|1100000,00|632||CHE|0010|DES BALS|1410|LELEX|01|210||A|116||||||||||||0|1|Maison||186|3|S||514
379:|||||||000001|11/01/2024|Vente|1100000,00|632||CHE|0010|DES BALS|1410|LELEX|01|210||A|116||||||||||||0|3|Dépendance||0|0|S||514
380:|||||||000001|11/01/2024|Vente|1100000,00||||B024|LE CLUS|1410|LELEX|01|210||A|350||||||||||||0||||||PA|PATUR|468
381:|||||||000001|11/01/2024|Vente|1100000,00||||B024|LE CLUS|1410|LELEX|01|210||A|353||||||||||||0||||||P||1838
382:|||||||000001|12/01/2024|Vente|73000,00|82||AV|0225|AMEDEE MERCIER|1000|BOURG-EN-BRESSE|01|53||CL|101||139||152||||||||2|3|Dépendance||0|0|||
383:|||||||000001|12/01/2024|Vente|73000,00|82||AV|0225|AMEDEE MERCIER|1000|BOURG-EN-BRESSE|01|53||CL|101||139||152||||||||2|2|Appartement||42|1|||
384:|||||||000001|12/01/2024|Vente|73000,00|82||AV|0225|AMEDEE MERCIER|1000|BOURG-EN-BRESSE|01|53||CL|101||139||152||||||||2|3|Dépendance||0|0|||
385:|||||||000001|17/01/2024|Vente|7000,00|2||RUE|0660|DES CARTELLETS|1000|BOURG-EN-BRESSE|01|53||CR|37||77||||||||||1|3|Dépendance||0|0|||
386:|||||||000001|03/01/2024|Vente|80000,00||||B032|LES VAVRES|1960|PERONNAS|01|289||AR|419||||||||||||0||||||AB||409
387:|||||||000001|02/01/2024|Vente|640000,00|300||RUE|0310|DE LA SAONE|1600|SAINT-BERNARD|01|339||AI|214||||||||||||0|3|Dépendance||0|0|||
388:|||||||000001|02/01/2024|Vente|640000,00|300||RUE|0310|DE LA SAONE|1600|SAINT-BERNARD|01|339||AI|214||||||||||||0|1|Maison||100|3|||
389:|||||||000001|02/01/2024|Vente|640000,00|300||RUE|0310|DE LA SAONE|1600|SAINT-BERNARD|01|339||AI|214||||||||||||0|3|Dépendance||0|0|||
390:|||||||000001|02/01/2024|Vente|640000,00|||RUE|0310|DE LA SAONE|1600|SAINT-BERNARD|01|339||AI|215|1|||||||||||0||||||||
391:|||||||000002|05/01/2024|Vente terrain à bâtir|2898,00||||B019|LES GRANGES BONNET|1960|PERONNAS|01|289||AD|340||||||||||||0||||||S||69
392:|||||||000003|05/01/2024|Vente|80000,00||||B057|FUMEY|1310|POLLIAT|01|301||ZB|189||||||||||||0||||||P||874
393:|||||||000003|05/01/2024|Vente|80000,00||||B057|FUMEY|1310|POLLIAT|01|301||ZB|193||||||||||||0||||||P||362
394:|||||||000001|09/01/2024|Vente|359000,00|54||IMP|0022|DES BOUVREUILS|1540|VONNAS|01|457||A|2844||||||||||||0|1|Maison||35|3|S||864
395:|||||||000001|09/01/2024|Vente|359000,00|54||IMP|0022|DES BOUVREUILS|1540|VONNAS|01|457||A|2844||||||||||||0|1|Maison||120|6|S||864
396:|||||||000001|10/01/2024|Vente|151000,00|2||RUE|2200|LANGEVIN|1000|BOURG-EN-BRESSE|01|53||AI|335||51||||||||||1|3|Dépendance||0|0|||
397:|||||||000001|10/01/2024|Vente|151000,00|4||RUE|2200|LANGEVIN|1000|BOURG-EN-BRESSE|01|53||AI|335||1||21||22|69,09|||||3|2|Appartement||76|5|||
398:|||||||000001|10/01/2024|Vente|151000,00|4||RUE|2200|LANGEVIN|1000|BOURG-EN-BRESSE|01|53||AI|335||1||21||22|69,09|||||3|3|Dépendance||0|0|||
399:|||||||000001|10/01/2024|Vente|151000,00|4||RUE|2200|LANGEVIN|1000|BOURG-EN-BRESSE|01|53||AI|335||1||21||22|69,09|||||3|3|Dépendance||0|0|||
400:|||||||000001|04/01/2024|Vente|20000,00|14||BD|2540|MAL LECLERC|1000|BOURG-EN-BRESSE|01|53||AE|107||131|11,13|||||||||1|3|Dépendance||0|0|||
401:|||||||000001|04/01/2024|Vente|20000,00|14||BD|2540|MAL LECLERC|1000|BOURG-EN-BRESSE|01|53||AE|107||132|11,14|||||||||1|3|Dépendance||0|0|||
402:|||||||000001|08/01/2024|Vente|448800,00||||B011|AUX BIEUX|1310|SAINT-MARTIN-LE-CHATEL|01|375||AC|173||||||||||||0||||||S||341
403:|||||||000001|08/01/2024|Vente|448800,00|200||CHE|0130|DE CREUZE|1310|SAINT-MARTIN-LE-CHATEL|01|375||AC|174||||||||||||0|1|Maison||207|7|S||1693
404:|||||||000001|08/01/2024|Vente|448800,00|200||CHE|0130|DE CREUZE|1310|SAINT-MARTIN-LE-CHATEL|01|375||AC|174||||||||||||0|3|Dépendance||0|0|S||1693
405:|||||||000001|08/01/2024|Vente|448800,00|200||CHE|0130|DE CREUZE|1310|SAINT-MARTIN-LE-CHATEL|01|375||AC|174||||||||||||0|3|Dépendance||0|0|S||1693
406:|||||||000001|08/01/2024|Vente|275000,00|25||RUE|0045|FERRACHAT|1340|MONTREVEL-EN-BRESSE|01|266||AB|94||||||||||||0|2|Appartement||59|3|S||823
407:|||||||000001|08/01/2024|Vente|275000,00|25||RUE|0045|FERRACHAT|1340|MONTREVEL-EN-BRESSE|01|266||AB|94||||||||||||0|2|Appartement||60|3|S||823
408:|||||||000001|08/01/2024|Vente|275000,00|25||RUE|0045|FERRACHAT|1340|MONTREVEL-EN-BRESSE|01|266||AB|94||||||||||||0|2|Appartement||72|3|S||823
409:|||||||000001|08/01/2024|Vente|275000,00|25||RUE|0045|FERRACHAT|1340|MONTREVEL-EN-BRESSE|01|266||AB|94||||||||||||0|2|Appartement||89|3|S||823
410:|||||||000001|08/01/2024|Vente|275000,00|25||RUE|0045|FERRACHAT|1340|MONTREVEL-EN-BRESSE|01|266||AB|94||||||||||||0|3|Dépendance||0|0|S||823
